Year,N Tanzania - Kenya,Seychelles North,N Mozambique - S Tanzania,Seychelles Outer,Comoros,North Madagascar,East Madagascar,West Madagascar,Mascarene Isl,Delagoa,South Madagascar
2032,1.8717,3.4978,1.8284,5.113,4.3243,4.3466,5.011,1.5144,3.1635,1.2689,3.6784
2033,2.2593,2.9697,1.9285,3.5981,3.4575,2.8305,4.6029,2.8232,3.7553,1.6521,4.0521
2034,2.7964,4.269,2.5873,4.9276,4.8634,4.3618,5.5609,3.8728,4.712,2.3556,6.1788
2035,2.289,4.2751,2.3272,4.49,4.2682,4.1461,4.9463,3.8684,4.2034,2.7045,6.9398
2036,3.0893,4.8244,3.3798,5.9662,5.3394,4.636,6.4921,3.2769,5.7438,2.8502,5.6563
2037,3.4286,5.1694,3.57,6.7309,6.6493,6.5143,7.7173,4.1618,6.3939,2.6687,7.3429
2038,2.5902,4.2324,2.7585,5.3011,4.8871,4.5181,5.7813,3.8452,4.9392,3.274,6.3887
2039,4.5977,6.5998,5.1638,8.8878,7.7228,7.1275,7.7975,4.971,7.7408,3.3784,6.9069
2040,3.7038,5.8208,3.9166,7.463,6.1887,6.0843,8.2857,5.8578,6.9026,3.643,8.0263
2041,3.6583,5.8973,4.7956,6.9132,7.6559,6.8193,7.2697,4.7334,4.9822,3.5656,6.8045
2042,3.9077,5.4546,4.0115,7.0928,6.6777,6.1378,7.6534,4.8965,6.9835,3.6563,6.9551
2043,5.4381,7.5626,5.8838,9.0615,8.4842,7.7229,9.0473,6.3954,7.8019,5.2295,8.9011
2044,6.8467,9.3917,7.7311,11.2199,10.5959,9.8107,10.9517,8.1656,9.9432,6.2808,10.3732
2045,4.9571,7.5641,5.9707,8.4521,8.6083,7.7087,8.6315,5.9776,7.4783,5.2167,8.8819
2046,5.6888,8.3385,6.8415,10.3072,9.0844,8.4641,9.151,6.8275,8.1615,5.4983,8.9183
2047,6.3441,8.8312,7.3212,10.4452,10.1463,9.5279,11.1111,8.5727,9.9139,6.8302,11.0264
2048,7.0738,10.2299,8.8425,11.9605,12.0155,11.0641,11.4919,9.6708,10.5127,7.5555,11.3811
2049,6.3894,9.1069,7.6931,10.7658,10.4849,9.8973,10.7382,8.8776,8.7457,7.3105,10.8092
2050,7.4603,10.4096,8.533,11.519,11.2282,10.1547,11.2559,8.489,10.9818,6.4746,11.394
2051,9.107,11.9986,10.605,13.5695,14.0608,13.2547,13.3892,11.1171,11.985,8.5065,13.1
2052,7.4279,9.876,8.9504,11.1164,10.8697,10.26,12.3311,9.1618,10.5652,7.6086,12.1195
2053,8.97,11.9213,10.7442,13.4239,13.912,12.5097,13.4287,11.5422,12.6072,9.3534,13.893
2054,9.6271,11.4448,11.063,12.9151,13.2581,12.0141,12.6999,10.9586,11.2902,8.6609,13.2509
2055,9.9132,12.3967,11.0806,13.3687,14.0497,12.9376,13.6511,11.7728,11.7577,9.54,13.8373
2056,10.3892,12.8074,11.113,13.9662,13.8377,12.8335,14.1533,11.8752,13.3078,9.613,14.2359
2057,11.4293,13.7549,12.5682,15.1681,15.2631,13.7605,14.5718,13.2219,13.622,10.5281,14.6878
2058,11.499,15.0062,12.7877,16.1676,15.3489,14.8482,15.3803,13.8952,15.1718,11.5885,15.7465
2059,11.3813,14.7572,13.0224,15.6149,15.7287,14.568,15.3135,13.5746,14.2391,11.2561,15.7761
2060,12.8109,14.8259,14.0328,16.1388,16.3305,14.9586,16.2364,13.3106,14.8759,11.9514,16.0504
2061,14.4204,16.5618,15.8588,17.789,18.6113,17.0746,17.1423,15.7373,16.6829,12.9074,17.612
2062,14.3193,17.6394,15.269,18.6388,18.3509,17.5695,17.6538,14.7766,17.1605,12.9446,16.2972
2063,13.8118,17.2265,14.8839,18.4782,18.344,17.578,18.6593,16.0604,17.1505,13.8704,18.7343
2064,15.0692,17.647,15.9383,19.032,18.8042,18.0701,18.9645,16.2162,18.4271,13.4173,18.2899
2065,14.9982,17.5405,15.8265,18.2732,18.5756,17.7154,17.0356,16.6334,15.5277,14.5303,17.686
2066,14.5298,18.3073,15.8995,19.3043,19.0216,17.902,19.5694,17.8824,18.7572,14.6324,20.1193
2067,17.3189,20.4197,18.4157,20.8736,21.3285,19.5239,20.7244,17.3981,19.4242,14.614,19.567
2068,16.6857,20.1825,17.9976,20.7511,21.3433,20.2269,20.6357,18.9224,18.8172,15.7984,20.7359
2069,16.7365,20.1101,17.6451,20.8627,21.138,20.0586,20.5438,18.9061,19.2395,17.1857,20.9785
2070,17.6737,20.3889,19.341,22.0233,22.3522,20.7895,20.6413,19.1114,19.1003,15.9991,20.4822
2071,17.8164,20.079,18.5787,21.636,21.9739,20.7848,21.6117,19.1761,19.8291,16.9738,21.1837
2072,18.6258,21.6841,19.4428,21.6144,22.3179,21.1479,21.1239,20.7494,19.3892,17.9708,21.9939
2073,19.0693,23.057,19.8999,22.9321,22.6673,21.6912,22.9071,20.7485,21.8821,17.669,23.7681
2074,20.1343,23.6459,21.0055,23.9568,24.198,23.3965,24.633,21.943,23.0292,19.6712,23.7261
2075,20.7836,23.8815,21.946,25.1179,25.9292,24.8163,24.6573,23.1622,23.2379,20.0092,25.2317
2076,21.7564,25.1196,22.7288,25.2063,25.9526,24.4218,24.7617,22.9997,23.1344,20.4396,24.5059
2077,23.6563,26.3035,23.8226,26.2752,27.0669,25.5977,25.4711,24.3673,24.2674,21.8211,26.5751
2078,22.4062,25.9845,23.5314,26.784,27.1473,26.1552,25.6266,24.0577,25.0249,21.0818,25.7442
2079,22.0697,24.9859,22.8044,26.1318,26.224,24.9672,26.6484,22.4147,25.0878,20.0832,25.2121
2080,23.4152,27.2197,24.3823,27.4022,27.9514,26.9349,26.7777,25.5143,25.2871,22.6655,27.2273
2081,23.3423,27.2808,24.6563,28.1186,28.1606,27.0046,28.1579,25.2755,26.5063,22.3946,27.8885
2082,24.6702,28.356,25.7907,28.3007,29.1295,27.2342,27.0549,26.2096,25.6581,23.3959,27.9006
2083,24.7922,28.3074,25.752,28.7328,29.2879,27.3114,27.072,25.6647,25.5009,23.6163,26.9305
2084,24.6437,28.2974,25.2506,29.4384,29.1892,27.8737,28.1768,26.0282,28.1197,23.2442,27.7905
2085,24.1525,28.4144,25.3592,28.3626,28.9435,27.5423,27.5654,27.7997,26.4418,24.3782,28.947
2086,25.4119,28.6832,26.434,28.8632,30.4726,28.7586,28.992,28.0488,27.7393,24.0169,30.0492
2087,26.5138,29.5302,27.1507,30.0925,31.291,29.6192,30.2522,27.8535,29.0264,24.1244,30.0672
2088,26.9466,30.2238,27.5624,30.7019,30.825,29.5074,30.527,28.2005,30.4931,25.4518,30.6111
2089,27.2825,31.1854,28.0682,32.041,31.6224,30.1321,31.102,27.8664,29.6814,24.85,30.0067
2090,28.132,31.7421,29.0336,31.8176,32.827,31.2793,30.9456,30.2801,29.7645,26.3822,31.2168
2091,29.8576,33.0094,30.596,33.5174,34.0738,32.5318,32.5291,30.5589,31.3668,27.1085,32.2236
2092,29.8131,33.4575,30.7691,33.4302,34.5107,32.3039,32.3838,31.3284,31.8837,27.6734,33.7444
2093,29.4881,33.5025,30.7347,33.9611,34.8524,33.0997,32.8788,30.3064,32.5281,26.9276,32.2698
2094,29.4278,33.0275,29.9178,33.0079,33.907,31.7999,31.9213,32.2236,31.8804,28.8351,34.0019
2095,30.9265,34.1578,31.5309,34.5833,35.0248,33.4046,33.5007,31.69,33.0533,29.0009,33.8721
2096,30.7012,34.1331,30.9608,34.2728,34.6782,33.1845,34.0029,32.1463,33.9141,29.2827,34.2886
2097,33.2191,36.7345,33.6726,37.287,37.8926,36.2389,36.4366,34.0266,35.7878,30.2272,36.0418
2098,33.284,36.7968,34.4733,37.5578,38.2028,36.0799,35.9257,34.0356,34.8763,31.1412,35.1656
2099,32.502,36.0489,33.3389,35.7795,37.062,35.3232,35.0861,33.8731,33.3426,31.1586,35.2578
