Year,N Tanzania - Kenya,Seychelles North,N Mozambique - S Tanzania,Seychelles Outer,Comoros,North Madagascar,East Madagascar,West Madagascar,Mascarene Isl,Delagoa,South Madagascar
2006,0,0,0.0003,0.0711,0,0,0,0.0033,0.0057,0,0.0096
2007,0,0,0,0,0,0,0.0034,0.005,0,0,0.048
2008,0.0014,0,0,0.0198,0,0,0.2852,0.018,0.3667,0,0.2728
2009,0.0002,0.2151,0,0.0405,0.0048,0.0876,0.4432,0.0096,0.3685,0,0.2729
2010,0.0692,0.4024,0,0.0696,0,0,0.0003,0.0011,0.0106,0,0.021
2011,0,0,0.0001,0,0,0,0,0.0223,0,0,0.0621
2012,0,0,0.0121,0,0.0034,0,0.0562,0.0216,0,0.0453,0.3302
2013,0.0363,0.1803,0,0.3906,0,0.1366,0.6857,0.0131,0.6019,0.0453,0.3061
2014,0.0659,0.397,0.0095,0.6555,0.4261,0.285,0.7016,0.0543,0.7372,0.0111,0.5892
2015,0.1667,0.6281,0.0276,0.565,0.266,0.1152,0.6495,0.0737,0.7037,0.0122,0.6522
2016,0.3335,0.9236,0.4012,0.8684,0.9312,0.4939,0.7711,0.2409,0.4801,0.2899,0.6269
2017,0.4011,1.2629,0.2946,1.0433,0.8869,0.6024,1.0114,0.3119,0.8105,0.3316,0.9573
2018,0.3659,1.201,0.249,1.0211,0.6658,0.5474,1.4849,0.2169,0.958,0.2091,1.4166
2019,0.1388,0.748,0.2672,0.7492,0.6141,0.3989,1.1403,0.21,0.4271,0.1158,0.7848
2020,0.0616,0.7403,0.1313,0.4215,0.336,0.2392,0.5544,0.2763,0.3184,0.1979,0.988
2021,0.3432,1.3069,0.5155,1.5294,0.7544,0.7691,2.1892,0.406,2.4151,0.2698,1.4582
2022,0.7739,2.3644,1.0971,3.1526,2.0887,2.1275,3.777,0.4923,3.9233,0.2097,2.1363
2023,0.4133,1.1519,0.2934,1.3992,0.9171,0.7877,1.6871,0.3949,1.1765,0.3544,1.1374
2024,0.6447,1.3822,0.8969,1.666,1.8445,1.4111,1.8957,0.6319,1.1181,0.5601,1.9498
2025,0.4603,1.3938,0.3324,2.1376,0.9382,1.4497,3.0795,0.9892,2.2304,0.9483,2.634
2026,2.3883,3.4275,2.0399,4.2956,3.3881,3.2665,4.5813,1.4222,3.5124,1.1373,3.371
2027,1.267,2.2055,1.1316,1.7955,2.0342,1.7957,2.9231,1.1048,1.8676,0.6896,3.1676
2028,1.1129,2.5653,1.2355,2.1211,2.3663,1.698,2.3332,1.5116,1.8465,1.1063,2.7446
2029,0.8729,2.7712,1.1832,3.2784,2.7459,2.4813,3.7287,1.6091,3.0692,1.2532,3.1998
2030,2.4326,3.4849,1.9987,4.0571,4.0498,3.4828,4.7081,1.7832,3.507,1.0895,4.3693
2031,1.412,2.8797,1.182,2.81,2.5164,2.2189,3.1011,1.6873,1.7747,1.152,3.2436
