Year,N Tanzania - Kenya,Seychelles North,N Mozambique - S Tanzania,Seychelles Outer,Comoros,North Madagascar,East Madagascar,West Madagascar,Mascarene Isl,Delagoa,South Madagascar
2030,0.7038,1.6539,0.4504,2.5755,1.6075,1.7367,3.329,1.363,2.708,0.9488,3.197
2031,0.7932,1.5895,0.6276,2.1876,1.1763,1.7274,3.6682,1.878,2.8132,1.3333,3.6043
2032,1.4333,2.5362,1.3292,1.7055,1.7062,1.3531,2.8332,2.5536,2.1313,1.8574,4.1666
2033,1.1055,2.0986,1.5229,2.4534,2.9748,2.5331,3.8007,1.3585,2.9997,0.8559,2.89
2034,1.0942,2.0886,0.9182,2.2937,1.5897,1.5208,3.0096,1.6873,1.9897,1.2792,3.1734
2035,1.3552,2.3243,1.221,3.2011,2.8426,2.4007,3.174,1.3893,2.3755,1.3206,2.9258
2036,1.2185,2.1211,1.4423,2.2902,2.4414,2.2648,2.9116,1.4781,2.1552,0.6935,3.4386
2037,0.8477,1.8762,1.1107,1.8215,1.9512,2.0295,3.528,1.2807,3.2057,0.4932,3.5219
2038,1.9588,3.2373,1.7789,4.0982,4.0974,4.1146,5.4708,1.7641,5.4217,1.1273,4.7834
2039,1.2199,2.0584,1.1568,2.6145,2.6351,2.966,4.0939,1.9952,2.4714,1.4396,3.9921
2040,2.0813,2.7646,1.7572,3.5613,3.2042,2.8111,4.0954,2.1804,3.9363,1.1954,3.6953
2041,2.2676,4.1448,1.8486,3.2184,3.4456,2.6938,4.2018,2.8829,3.9573,1.6939,5.2904
2042,2.434,3.5026,1.9612,3.9609,3.7281,3.8548,6.1716,1.9818,3.8477,1.9667,5.6323
2043,1.1267,2.1649,0.8629,2.3148,1.4123,1.5423,2.6295,2.3047,2.6763,1.6611,3.7737
2044,2.0595,3.5039,1.8027,4.7566,3.6667,3.5866,4.3656,3.0191,4.4247,2.0826,5.0409
2045,1.575,2.1916,1.2376,3.592,2.4181,2.5584,4.3259,1.4695,3.8134,1.2242,4.1725
2046,2.0516,3.1426,2.188,4.6975,5.2108,4.4453,4.2737,1.5816,3.2334,1.3925,3.588
2047,2.3929,3.1241,1.9985,3.7887,3.4757,2.9809,4.5689,1.8653,4.6764,1.6156,4.2729
2048,2.6914,3.5717,2.5161,4.8284,5.1237,4.725,5.672,2.6575,4.9502,2.1367,4.6781
2049,1.7116,2.5798,1.5308,3.2475,3.3001,2.7022,3.3942,2.2403,2.7296,1.2987,3.9658
2050,2.5941,4.7649,2.3147,4.8524,4.2445,4.3102,5.4307,3.2832,4.839,1.9828,5.6312
2051,2.1432,2.6345,1.8204,3.3906,3.5051,3.3724,3.2581,1.8299,2.9459,1.4553,3.528
2052,1.9819,3.4341,2.0193,4.3314,4.0089,3.5498,5.0448,2.1271,4.9256,1.3123,4.8737
2053,2.7548,4.2234,2.6923,4.3022,4.895,4.2736,4.3682,2.3503,4.0484,1.9583,4.2476
2054,1.5297,2.9448,1.6393,3.3914,3.3429,3.0215,4.5542,2.1354,4.0579,1.9168,4.8885
2055,1.7085,2.6721,1.623,3.2582,2.5652,2.0557,3.4908,1.9599,3.3045,1.3319,4.0187
2056,2.8712,4.4307,3.0013,4.8672,4.6265,4.2242,5.469,3.0797,5.5879,1.8336,6.1984
2057,2.1806,3.7142,1.9763,4.1633,4.1796,3.957,4.4258,1.9322,3.2066,1.5034,3.7539
2058,1.9871,3.8716,1.6413,4.8122,3.8141,3.7145,4.7671,1.9894,3.5632,1.4166,4.3406
2059,1.5172,2.1489,1.1832,3.1741,2.2677,2.3684,3.6354,1.9066,3.2063,1.2824,3.7774
2060,2.5012,3.29,2.1261,4.5308,3.6001,3.4384,4.2605,2.1396,3.4943,1.9746,4.4003
2061,2.5022,3.2914,2.2099,3.9532,4.0206,3.5261,4.1665,2.6206,3.7019,1.9842,4.1547
2062,3.0561,4.5306,3.1043,5.469,5.1551,4.9033,5.6171,3.3189,4.9748,2.4999,6.0082
2063,2.1176,3.1562,2.0437,4.4116,4.4607,4.1299,4.421,2.1986,3.1276,2.2145,3.7919
2064,1.9031,2.6158,1.8295,3.2409,2.9398,3.0779,4.6357,1.4921,3.3426,0.8992,4.2294
2065,1.9547,3.057,1.8327,3.7063,3.4009,3.0317,4.374,2.5123,4.7382,1.4661,4.2631
2066,3.5533,5.4014,3.1797,6.0602,6.0609,5.7636,5.7349,3.7584,4.2657,2.1016,5.3477
2067,2.9294,3.7355,2.8098,4.2831,4.6973,4.0865,4.7032,3.3315,3.5043,2.1906,5.3763
2068,1.7488,2.84,1.9165,3.2759,3.5077,3.074,4.5748,3.5993,4.4737,2.3585,5.9638
2069,1.9983,3.3292,1.824,3.811,3.3889,3.3879,4.1115,2.5858,4.4368,1.6259,4.8747
2070,2.4869,4.4427,2.2809,4.1366,3.6869,2.7094,4.1662,2.4183,4.1538,2.006,4.8196
2071,2.1658,3.2766,2.4873,4.8538,5.0007,4.5922,4.6957,2.6374,2.8661,1.7199,4.6664
2072,1.5416,2.6947,1.581,3.9732,3.5285,3.4271,4.2517,1.5634,3.5699,1.1724,3.4155
2073,2.9592,4.116,2.064,4.0767,3.698,3.4321,4.7658,1.5403,3.6305,1.1551,4.1424
2074,2.0542,2.9508,1.466,3.626,3.8675,3.5702,4.6818,1.579,3.1116,1.362,4.2516
2075,1.9473,2.8147,1.6586,4.318,3.6818,3.6422,5.4961,2.2274,4.0131,1.4461,4.7714
2076,2.4512,2.842,2.3198,4.2814,3.7433,3.2542,4.9287,2.8743,4.665,2.0617,5.8378
2077,2.3983,3.3212,1.9125,4.1126,3.3678,3.872,5.3097,2.6827,4.2886,1.3899,4.6961
2078,1.9193,3.6735,1.8391,4.595,3.7782,3.6807,4.6,2.2256,3.4899,2.0133,4.4715
2079,1.9258,3.2065,1.8691,4.1054,3.9079,2.8154,3.7495,1.627,2.3642,1.9695,3.5103
2080,2.4769,3.3357,1.7795,4.5957,4.2755,4.0305,4.3537,1.8269,3.1378,1.2889,4.22
2081,2.3206,3.2111,1.8415,4.2447,3.7703,3.6504,4.3989,1.844,4.274,1.5874,4.3145
2082,2.5711,3.6658,2.2255,4.4761,5.1299,4.1125,4.4742,2.1922,3.6799,1.3159,4.3598
2083,2.0239,3.1848,1.8674,3.7866,4.1922,3.8752,4.6235,2.3944,3.7634,1.5607,4.9817
2084,1.6918,2.7126,1.9232,2.9424,4.0057,3.371,2.9673,1.5345,3.1066,1.2515,3.6662
2085,1.289,2.4252,1.8208,4.1611,3.8097,3.7744,4.9308,2.323,4.8594,1.1456,4.7193
2086,2.5816,3.7479,2.4631,4.2604,4.5463,4.2559,4.4895,3.2925,3.8096,2.1274,5.2349
2087,2.1082,3.6603,1.2364,3.7722,3.1831,2.6999,3.9729,2.6333,3.5662,2.0949,5.1938
2088,3.3374,3.9795,3.3478,4.8323,5.7185,5.5681,5.8193,2.9532,4.3671,1.6563,5.5183
2089,1.1093,2.6309,1.2964,2.945,2.7066,2.7046,4.0747,2.4723,3.2862,1.5994,4.3954
2090,2.7638,3.9161,2.1135,4.6284,4.1132,3.8144,4.4334,1.8101,4.8637,1.0792,4.1294
2091,1.38,2.3651,0.9878,2.4229,1.5227,1.744,3.3677,1.8553,2.7454,1.2832,3.5063
2092,2.153,3.6555,2.1899,4.476,4.9257,4.3941,5.1707,2.5719,4.1386,1.4818,5.2262
2093,2.2681,2.7777,1.8016,4.1929,3.7816,3.43,5.0053,2.1281,4.6142,1.7088,4.377
2094,2.8895,4.0061,2.3745,5.6222,4.797,4.3782,5.406,2.8876,6.0886,2.4762,5.3469
2095,2.3929,2.8892,1.9728,4.4332,3.9388,4.0389,5.7403,2.7295,4.757,1.5533,5.502
2096,1.5321,2.2648,1.8096,3.5448,3.028,3.3225,4.0708,1.9326,3.9376,1.0824,4.0447
2097,1.9797,3.7434,1.8307,5.4195,4.472,4.4926,6.239,1.9162,4.893,1.1008,4.6168
2098,3.1561,4.2313,2.5008,4.6815,4.6307,4.1,4.7876,2.2439,3.2855,1.4744,4.4926
2099,2.2152,2.2355,1.7131,3.5244,3.8867,3.6019,4.476,2.1773,4.2293,1.4094,4.893
