Year,N Tanzania - Kenya,Seychelles North,N Mozambique - S Tanzania,Seychelles Outer,Comoros,North Madagascar,East Madagascar,West Madagascar,Mascarene Isl,Delagoa,South Madagascar
2006,0.0037,0.1504,0.0013,0.255,0.0851,0.1972,0.3358,0.0077,0.2093,0.0919,0.0292
2007,0.0071,0,0,0.147,0,0,0.119,0.1711,0.0461,0.0716,0.5711
2008,0.0108,0.0432,0.0038,0.4729,0.1524,0.2024,0.1328,0.1728,0.0096,0.0716,0.6134
2009,0,0.0009,0,0.01,0.0059,0,0.0036,0.0187,0,0.0405,0.205
2010,0.0069,0.087,0,0.0458,0.1066,0.0469,0.0417,0.0343,0.0366,0.0405,0.2203
2011,0.0015,0.375,0,0.2949,0.063,0.0598,0.2852,0.0004,0.1997,0,0.0046
2012,0,0.1011,0.0488,0.5055,0.1225,0.215,0.2932,0.0032,0.2326,0,0.0148
2013,0.0342,0.0036,0.009,0.2011,0.1247,0.0471,0.5192,0.0496,0.3997,0,0.6167
2014,0.1897,0.8158,0.2155,0.6271,0.793,0.5526,0.8557,0.0707,0.4092,0.0167,0.6198
2015,0.4232,0.9373,0.5034,0.6549,0.7253,0.2602,0.5063,0.1718,0.9896,0.0591,0.5493
2016,0.2922,0.6236,0.1458,0.5606,0.462,0.2273,0.8199,0.2003,1.0809,0.0522,0.7015
2017,0.2811,1.1636,0.3526,0.9119,1.0038,0.6878,1.5559,0.2345,1.0683,0.0521,0.5995
2018,0.2151,0.54,0.0591,0.6431,0.2581,0.1227,0.6462,0.0472,0.4605,0.0561,0.5072
2019,0.256,0.8285,0.314,0.4397,0.38,0.1067,0.8969,0.2994,0.9398,0.2151,1.144
2020,0.6001,1.4006,0.6201,1.0685,1.1228,0.6034,1.2112,0.4694,1.4194,0.2151,1.4933
2021,0.5134,1.3818,0.3361,1.1984,0.772,0.4986,1.0247,0.9745,1.5461,0.208,1.96
2022,0.9369,1.796,0.8388,1.5722,1.2487,1.0051,1.7355,1.4171,2.4851,1.0011,2.89
2023,0.7283,1.4622,0.5982,1.4267,0.8934,0.5547,1.0981,1.1252,1.48,1.0987,1.991
2024,0.6663,1.0153,0.6611,1.4351,1.206,1.1555,1.8864,0.7883,1.9056,0.2471,1.9919
2025,0.8945,1.7153,0.9703,1.6674,2.0832,1.8498,2.7093,1.285,2.4221,0.5821,2.9733
2026,0.865,2.4031,0.4509,2.2583,1.3213,1.7134,2.5824,1.2906,2.4411,0.7398,3.1966
2027,0.5546,1.3176,0.9883,1.9653,1.7724,1.3384,1.6864,0.605,0.9919,0.2641,1.5058
2028,0.7495,2.2143,0.6459,2.0632,2.0345,1.7944,2.5522,0.86,1.7708,0.4816,2.4309
2029,1.1682,2.0783,0.9381,2.3987,1.9902,1.8713,2.5846,1.3313,2.1276,0.8775,2.4979
