Year,N Tanzania - Kenya,Seychelles North,N Mozambique - S Tanzania,Seychelles Outer,Comoros,North Madagascar,East Madagascar,West Madagascar,Mascarene Isl,Delagoa,South Madagascar
2006,0,0,0,0.0091,0,0,0.0007,0,0,0,0.0011
2007,0,0,0,0,0,0,0.0007,0,0,0,0.0011
2008,0,0,0,0.1983,0,0,0,0,0.1926,0,0.0003
2009,0,0,0,0.2059,0,0.0207,0.377,0.0621,0.2291,0.0174,0.3667
2010,0.0265,0.4529,0.0003,0.17,0.1861,0.1296,0.388,0.08,0.1938,0.0174,0.3674
2011,0.0088,0.0373,0.0015,0.0098,0.0028,0.1293,0.2277,0.0299,0.0159,0,0.0554
2012,0,0,0,0.1435,0,0.0245,0.1464,0.1137,0.0211,0.0279,0.4277
2013,0.036,0.1859,0.0103,0.3922,0.1109,0.0266,0.1685,0.1296,0.0718,0.0279,0.4385
2014,0.2049,0.7091,0.3762,0.5103,0.697,0.2355,0.232,0.1259,0.1494,0.0062,0.1497
2015,0.1076,0.4943,0.0024,0.4572,0.143,0.1656,0.55,0.0545,0.2816,0.0244,0.5721
2016,0.252,0.8346,0.2791,1.1472,0.925,0.6502,1.0252,0.1831,1.0944,0.0745,0.8901
2017,0.1392,1.1047,0.2084,1.0049,0.7497,0.6278,0.9642,0.1576,1.1763,0.0822,0.9299
2018,0.2282,0.2691,0.1735,0.5232,0.5929,0.3572,0.9312,0.1972,0.8489,0.0859,0.8399
2019,0.0459,0.498,0.0128,0.7455,0.159,0.2617,1.0044,0.5416,1.018,0.3261,1.3837
2020,0.167,0.834,0.4612,0.7351,0.8657,0.5273,1.3333,0.7859,0.9613,0.5233,1.9639
2021,0.3033,1.0879,0.5443,1.0859,1.1455,0.5156,0.8686,0.5319,0.8981,0.1794,1.1454
2022,0.1747,0.85,0.3601,0.9598,0.9369,0.6382,1.1303,0.6015,0.6294,0.3188,1.7151
2023,0.4797,1.4282,0.5428,1.1035,1.1378,0.6169,1.116,0.593,1.1846,0.5316,1.6856
2024,0.5147,1.7838,0.6903,2.0306,1.6657,1.3212,1.9844,1.3699,1.6007,0.7542,2.5167
2025,0.9563,2.1087,0.9879,2.2191,1.7809,1.5649,2.8252,1.6022,2.4138,0.9028,3.5422
2026,1.1634,1.6191,1.0443,1.6348,1.7779,1.3145,1.9888,1.4755,1.1936,1.0736,2.3549
2027,1.2119,1.9811,0.9582,2.6266,1.7349,1.3344,2.1283,1.5657,1.7386,1.1018,3.077
2028,0.8894,1.5745,1.027,2.4603,1.9079,1.6987,2.9368,1.5162,2.4409,0.7918,2.8295
2029,1.348,2.2005,1.1737,2.5819,2.0388,2.0449,3.551,1.8364,2.5615,1.0197,3.8576
2030,1.4916,2.6102,1.2646,2.2285,2.344,2.1341,3.0338,2.0036,2.0167,0.8948,4.0133
2031,1.5618,2.5737,1.1551,2.7166,2.4266,2.1807,3.3124,1.4078,2.8604,0.7304,2.8485
2032,1.5001,2.4821,1.1574,2.8222,2.4603,2.3649,3.247,1.3643,2.2225,0.7514,3.0424
2033,2.1647,2.941,1.562,3.6759,2.6742,2.5208,3.9107,1.678,3.4372,0.8891,3.1995
2034,1.7264,2.5236,1.3472,1.9763,2.347,1.7483,2.7516,2.1736,1.9963,1.4291,3.7022
2035,2.0379,3.174,1.8448,4.1137,3.6316,3.4117,4.3821,2.3349,3.0812,1.6958,3.9808
2036,1.3986,2.8246,1.2784,3.4998,2.9819,2.8791,4.1392,2.4186,4.1798,1.3737,4.7132
2037,2.2839,3.1013,1.963,3.6282,3.6721,2.9602,4.1012,2.6737,2.8604,1.751,4.2132
2038,2.0922,3.3915,1.606,3.6075,2.8606,2.25,3.8536,2.9925,3.9936,1.9048,5.419
2039,2.8866,4.0119,2.6902,4.4598,4.0871,3.4992,4.6588,3.4733,3.9358,2.3592,5.4555
2040,1.9891,3.7489,1.9435,4.1768,3.2604,3.0503,5.001,3.4236,4.3855,2.3214,6.2165
2041,2.4925,3.9001,2.2824,5.1675,4.8199,4.4361,4.7506,3.9411,3.8081,2.7331,6.3237
2042,2.9197,4.6956,2.9329,5.5063,5.7859,5.1134,5.9116,4.8865,4.429,3.6338,6.9099
2043,2.9774,4.5725,3.3513,4.8495,5.2825,4.4603,5.779,4.4404,5.204,2.9288,6.8133
2044,4.1223,5.888,4.0442,6.2766,7.0888,6.2897,6.0441,5.3464,4.1475,3.7055,6.3102
2045,3.5905,5.0868,3.8954,5.7545,6.2615,5.6038,6.4383,5.9939,6.0614,4.0859,7.5688
2046,3.4856,4.6973,3.8181,5.9905,5.911,5.5777,6.956,5.1474,6.2977,3.4634,7.5826
2047,3.5832,4.9056,3.317,5.7535,5.6958,5.2023,6.457,4.1602,5.2326,3.3203,6.8044
2048,3.8681,5.3368,4.1746,6.8475,6.8816,6.1762,7.3876,4.9689,5.5023,3.9007,7.3143
2049,3.7166,6.1103,4.3701,6.9479,7.4058,6.7292,7.6213,6.0345,6.4632,4.4879,7.8573
2050,4.7652,6.3242,4.8972,6.8138,7.0046,6.6004,7.3359,6.5379,6.7431,4.2629,8.4156
2051,4.9076,7.0791,5.4513,7.9841,8.2363,7.2693,7.5546,6.2715,7.3959,4.5948,8.28
2052,3.9863,5.9511,4.4697,7.6901,6.3261,6.3603,8.1554,6.6542,7.9887,4.5934,8.9508
2053,5.9049,7.7778,6.3794,9.1401,9.2895,8.7209,9.2206,8.2471,7.7009,5.9345,9.9287
2054,4.6801,6.7805,5.824,7.6735,7.7565,7.3147,8.1121,6.6898,6.9083,4.1954,8.6571
2055,5.0514,6.7252,5.7918,8.9244,8.5559,7.9642,8.4806,7.1694,7.434,5.6847,9.4367
2056,4.8926,7.6881,5.5122,8.5264,8.4131,8.2852,9.3096,6.2035,8.7101,4.6257,8.6861
2057,5.8702,7.5762,6.7372,9.0973,9.3208,8.8452,9.4511,8.3268,7.7396,5.5784,9.6482
2058,5.249,7.142,5.6809,7.7094,8.009,7.6183,8.4083,6.6872,6.862,4.752,9.0725
2059,5.5702,8.1129,6.4346,9.1725,8.6996,8.4668,9.0151,6.7642,7.7922,5.1258,8.717
2060,6.8836,8.712,8.2308,10.9026,11.0056,10.1022,10.8967,9.3288,10.93,6.5427,11.7217
2061,5.7424,8.6387,6.895,9.5793,9.5268,9.1838,10.0985,8.3589,9.0615,5.8175,10.6665
2062,5.9823,8.562,6.9798,9.8083,9.711,9.5069,9.4772,7.9169,7.7768,5.7987,9.9565
2063,6.3867,7.9261,7.2138,9.2466,9.4794,9.0779,9.1955,8.4914,8.5691,6.5581,10.3608
2064,6.5794,8.5161,7.4082,9.509,9.3031,8.6506,9.221,7.2138,8.259,5.8158,9.3227
2065,7.0691,7.7989,7.9331,9.0262,10.4253,9.1888,10.263,8.4174,8.8368,6.7797,10.5917
2066,6.9621,9.2879,8.4942,10.3673,10.7075,10.2215,11.3787,9.3567,9.4646,6.9558,11.6329
2067,7.4844,10.1662,8.6117,11.2104,11.2092,9.8821,10.9647,9.4777,10.1742,7.2162,11.6004
2068,6.7269,8.9367,7.8892,10.4677,10.5602,9.6545,10.7698,8.9655,10.7464,6.638,11.6825
2069,6.3578,7.5992,7.3645,9.7316,10.5854,9.7982,10.1794,8.3216,8.3759,5.6327,11.0523
2070,7.6182,10.4739,9.2242,11.6562,12.0068,11.3388,12.2245,10.6904,10.884,8.0445,12.9718
2071,8.5077,10.4512,9.6721,10.564,12.1998,11.1709,11.1373,10.4206,10.1772,8.0631,11.9336
2072,6.8154,9.4961,8.4268,11.7124,11.2397,10.7175,12.0847,9.9662,10.02,7.4766,12.206
2073,7.6266,11.0275,9.1024,11.8752,11.8024,11.3849,12.2595,11.2148,11.2803,8.8221,12.8535
2074,8.9549,11.325,9.7977,12.0216,12.8707,12.341,12.7522,11.5241,10.9558,8.6147,13.3309
2075,7.0808,8.3625,7.8575,9.9383,10.0932,9.3883,9.5695,8.0764,8.0225,6.9987,9.6973
2076,6.9961,9.8008,8.4413,10.6055,11.1484,10.3191,10.9097,9.2644,9.4269,7.0612,11.4802
2077,8.1856,10.3417,9.2269,11.8783,12.2389,11.7515,12.4279,10.1284,10.2927,7.7739,12.2172
2078,8.4177,10.3634,9.3082,12.0707,11.6813,11.2066,11.9293,10.4186,11.2105,7.5244,11.9311
2079,8.8311,11.5873,9.9456,13.044,12.6916,12.2567,12.6261,11.4904,11.8222,8.7901,13.5119
2080,9.563,11.7172,10.7561,13.0907,13.4986,12.5074,13.0141,11.2875,12.3928,8.9342,13.2842
2081,8.8682,12.135,9.6818,13.0326,12.6214,12.1839,12.6675,9.6111,12.3908,7.5658,12.2657
2082,9.0067,11.1023,10.3017,11.8494,12.6125,11.4633,11.4002,10.7028,10.4261,9.4395,12.0756
2083,9.4168,11.5381,10.1424,12.7529,12.7179,11.9628,12.7957,10.7273,11.6957,8.5466,13.2275
2084,7.9682,10.8684,9.0752,11.7018,11.9333,11.115,11.4182,10.7014,9.5009,8.8334,12.1052
2085,9.7028,12.2629,10.5967,12.9015,12.9639,11.967,12.9596,11.1697,12.5662,8.4286,13.7034
2086,9.5653,12.3391,10.7394,12.9146,13.5377,12.8818,13.3609,11.8022,13.0328,9.6093,13.9262
2087,8.8124,11.1659,10.2349,12.8975,12.6764,12.5919,13.2199,11.5451,12.0693,9.9078,13.3863
2088,8.3413,10.0149,9.3186,11.9792,12.2464,11.3108,11.8447,10.5461,11.1031,7.7419,12.463
2089,9.928,12.1368,11.2449,13.6967,14.4064,13.6458,14.2173,12.8354,12.7788,9.659,14.8742
2090,10.1743,12.7825,11.3529,13.8831,14.2806,12.925,13.437,12.2926,12.6546,10.0745,13.7376
2091,9.7119,12.5902,10.578,11.9931,12.6449,12.0023,12.6239,11.9121,11.3807,9.8357,13.9669
2092,8.7734,11.6098,10.1655,12.784,12.3289,11.92,12.949,11.3762,11.2491,9.3697,13.4398
2093,9.911,11.7384,11.281,13.1213,13.323,12.6576,12.9113,11.9566,11.0556,9.6699,13.3179
2094,9.342,11.8818,10.1306,11.6145,12.2485,11.5522,11.7661,12.5198,10.8925,10.0037,13.774
